Center Coordinates:
(619.1139678955078, 83.37867736816406, 491.3999938964844)
(635.2815246582031, 85.3824462890625, 491.1000061035156)
(657.2338256835938, 91.28239440917969, 490.5)
(668.1358032226562, 98.85215759277344, 490.1999969482422)
(669.841552734375, 112.65583801269531, 490.1000061035156)
(665.7625885009766, 125.90292358398438, 490.1000061035156)
(657.2338256835938, 134.9198455810547, 490.0)
(647.8892669677734, 141.93299865722656, 489.8999938964844)
(639.0638580322266, 150.504638671875, 489.8999938964844)
(636.8389587402344, 154.73480224609375, 489.8999938964844)
(634.0949249267578, 160.18948364257812, 489.8000030517578)
(632.6116638183594, 168.9837646484375, 489.8000030517578)
(635.8748321533203, 178.0006866455078, 489.8000030517578)
(642.9203338623047, 183.3440399169922, 489.6999969482422)
(654.3414611816406, 184.79119873046875, 489.6999969482422)
(742.2989501953125, 158.74232482910156, 489.8999938964844)
(760.1722717285156, 160.41212463378906, 490.0)
(771.6675567626953, 165.75547790527344, 490.1000061035156)
(779.5288543701172, 172.2120361328125, 490.1000061035156)
(787.4643096923828, 182.11952209472656, 490.1999969482422)




Right Coordinates:
(619.4768060569043, 80.45107622240762, 491.3999938964844)
(636.0472033042779, 82.5335454113651, 491.1000061035156)
(658.9163341546215, 88.85924248556456, 490.5)
(671.0635345193725, 98.49037111675784, 490.1999969482422)
(672.6609243618186, 113.52396451636055, 490.1000061035156)
(667.9057601320218, 127.93006821619075, 490.1000061035156)
(659.0045919457912, 137.2792706899877, 490.0)
(649.9445848775556, 144.0491669609606, 489.8999938964844)
(641.6747496676344, 151.87786293184047, 489.8999938964844)
(639.4742844223579, 156.06053168649268, 489.8999938964844)
(637.0038401762276, 160.6801078077003, 489.8000030517578)
(635.3856024885503, 167.9798900277704, 489.8000030517578)
(637.6574543334953, 175.65020623445386, 489.8000030517578)
(643.2911605968649, 180.41743992161608, 489.6999969482422)
(653.5037731034616, 181.96263395594497, 489.6999969482422)
(742.5733565825082, 155.80511507583807, 489.8999938964844)
(761.4157487893167, 157.7370050478151, 490.0)
(773.5398767989309, 163.4758029982065, 490.1000061035156)
(781.8313430670481, 170.36784368067927, 490.1000061035156)
(790.3648131748535, 181.58139613533058, 490.1999969482422)





Left Coordinates:

(618.7511297341114, 86.3062785139205, 491.3999938964844)
(634.5158460121283, 88.2313471667599, 491.1000061035156)
(655.551317212566, 93.70554633279481, 490.5)
(665.20807192594, 99.21394406878903, 490.1999969482422)
(667.0221811069314, 111.78771150903007, 490.1000061035156)
(663.6194168699313, 123.875778951778, 490.1000061035156)
(655.4630594213963, 132.56042047212168, 490.0)
(645.8339490579913, 139.81683035349252, 489.8999938964844)
(636.4529663968187, 149.13141441190953, 489.8999938964844)
(634.2036330581109, 153.40907280569482, 489.8999938964844)
(631.186009677288, 159.69885947745595, 489.8000030517578)
(629.8377251481685, 169.9876392691046, 489.8000030517578)
(634.0922099731454, 180.35116705656176, 489.8000030517578)
(642.5495071277445, 186.2706399123683, 489.6999969482422)
(655.1791492598196, 187.61976350499253, 489.6999969482422)
(742.0245438081168, 161.67953458236505, 489.8999938964844)
(758.9287946677146, 163.08724421976302, 490.0)
(769.7952367264597, 168.03515281234039, 490.1000061035156)
(777.2263656731863, 174.05622858494573, 490.1000061035156)
(784.5638062099122, 182.65764805412255, 490.1999969482422)



